name,latitude,longitude,color,family,country
Gtaq [gaq],18.633,83.5,#486B94,Austroasiatic,India
Gtob [gbj],18.583,82.867,#49708D,Austroasiatic,India
Guajajara [gub],-5,-45,#A536B5,Tupi,Brazil
Guajira [guc],12,-72,#B44069,Arawak,Colombia
Guarani [gug],-23,-56,#A55E8C,Tupi,Paraguay
Gubeeher [bcb],12.5,-16.5,#BE2E87,Niger-Kongo,Senegal
Gujarati [guj],23,72,#2DA62A,Indo-European,India
Gumbaynggir [kgs],-30.4,152.5,#489592,Pama-Nyungan,Australia
Gününa Yajich [xxx-41],-38,-62.5,#6D6589,Chonan,Argentina
Gureng Gureng [gnr],-25.25,151,#44BB76,Pama-Nyungan,Australia
Gurr-goni [gge],-12.25,134.417,#765E92,Maningrida,Australia
Gurung [gvr],28.333,84.333,#42B7A6,Tibeto-Burman,Nepal
Guugu Yimidhirr [kky],-15,144.833,#3CB977,Pama-Nyungan,Australia
Haa Zongkha [dzo-2],27.135,89.12,#2DBDB7,Tibeto-Burman,Bhutan
Haida [hdn],53,-132,#788483,Haida,Canada
Hajong [haj],26.2,90.5,#30CB94,Indo-European,India
Hakha_Lai [cnh],22.667,93.667,#809AB8,Tibeto-Burman,Myanmar
Hakka [hak],24.25,116.5,#ACD072,Tibeto-Burman,China
Halkomelem [hur],49.5,-122.5,#8C2C4E,Salish,Canada
Hanga_Hundi [wos],-3.833,142.833,#309087,Sepik,Papua New Guinea
Hangzhou [wuu-2],30.25,120.167,#A7CB70,Tibeto-Burman,China
Harsusi [hss],19.7,55.85,#7A5E32,Afro-Asiatic,Oman
Hatam [had],-1,134,#C782CD,Hatam,Indonesia
Hausa [hau],12,7,#BE6F5A,Afro-Asiatic,Nigeria
Hawaiian [haw],21,-157,#B8BE5A,Austronesian,USA
Hayu [vay],27.25,86,#458C9D,Tibeto-Burman,Nepal
Hebrew [heb],31.75,35.17,#9D7210,Afro-Asiatic,Israel
Helong [heg],-10.25,123.67,#C88091,Austronesian,Indonesia
Herero [her],-21,20,#B64E69,Niger-Kongo,Namibia
