Language_name	Family_name	subfamily_name	genus_name	status	color	latitude	longitude
Tsaukambo	Nuclear Trans New Guinea			unknown/safe	#0013FF	-5.39076	140.186
Tsamai	Afro-Asiatic			definitely endangered	#FF0600	5.3097	36.9139
Tsat	Austronesian			definitely endangered	#FF5E00	18.3192	109.336
Tseku	Sino-Tibetan			unknown/safe	#8B00FF	27.8046	89.1931
Tsetsaut	Athapaskan-Eyak-Tlingit			extinct	#FF4C00	55.5	-130.08
Tshangla	Sino-Tibetan			definitely endangered	#8B00FF	27.3694	91.7741
Tshobdun	Sino-Tibetan			unknown/safe	#8B00FF	32.18	101.84
Tsikimba	Atlantic-Congo			unknown/safe	#FF5200	9.60496	4.88739
Tsimihety Malagasy	Austronesian			unknown/safe	#FF5E00	-15.4294	48.8102
Salka-Tsishingini	Atlantic-Congo			unknown/safe	#FF5200	10.2882	5.11073
Ts'ixa	Khoe-Kwadi			unknown/safe	#00FF8B	-19.180953	23.998153
Tsoa	Khoe-Kwadi			unknown/safe	#00FF8B	-19.7974	26.9638
Tsogo	Atlantic-Congo			unknown/safe	#FF5200	-1.55469	11.1359
Tsonga	Atlantic-Congo			unknown/safe	#FF5200	-23.5754	31.8105
Tso	Atlantic-Congo			unknown/safe	#FF5200	9.53256	11.4972
Tsotso	Atlantic-Congo			unknown/safe	#FF5200	0.2975	34.6961
Tsotsitaal	Speech Register			unknown/safe	#C900FF	-25.8633	27.4955
Tsou	Austronesian			unknown/safe	#FF5E00	23.216	120.787
Tsum	Sino-Tibetan			definitely endangered	#8B00FF	28.4719	85.0817
Ts'ün-Lao	Tai-Kadai			unknown/safe	#E300FF	21.3616	102.926
Tsuvadi	Atlantic-Congo			unknown/safe	#FF5200	10.8421	5.22095
Tsuvan	Afro-Asiatic			unknown/safe	#FF0600	10.1551	13.628
Tswapong	Atlantic-Congo			unknown/safe	#FF5200	-23.40552	27.42009
Tswana	Atlantic-Congo			unknown/safe	#FF5200	-24.368	24.7587
Tswa	Atlantic-Congo			unknown/safe	#FF5200	-22.9891	32.4287
Tuamotuan	Austronesian			severely endangered	#FF5E00	-16.17259	-146.321755
Tübatulabal	Uto-Aztecan			critically endangered	#FF008B	35.327	-117.163
Tubar	Uto-Aztecan			extinct	#FF008B	30	-111
Tucano	Tucanoan			critically endangered	#FF00C9	0.579755	-69.5763
Tugen	Nilotic			unknown/safe	#0045FF	0.66573	35.8499
Tugun	Austronesian			unknown/safe	#FF5E00	-7.72555	126.7
Tugutil	North Halmahera			unknown/safe	#0032FF	0.5806	128.223
Tukang Besi North	Austronesian			unknown/safe	#FF5E00	-5.30994	123.578
Tukang Besi South	Austronesian			unknown/safe	#FF5E00	-5.7478	123.948
Tuki	Atlantic-Congo			unknown/safe	#FF5200	4.64348	11.5353
Tukpa	Sino-Tibetan	Tibeto-Burman	Bodic	definitely endangered	#8B00FF	31.4925	78.1627
Tukumanféd	Unattested			extinct	#FF00A4	-11.518	-61.42
Tukudede	Austronesian			unknown/safe	#FF5E00	-8.6788	125.283
Tula	Atlantic-Congo			unknown/safe	#FF5200	9.84629	11.52551
Tulehu	Austronesian			unknown/safe	#FF5E00	-3.57785	128.31
Tule-Kaweah Yokuts	Yokutsan			extinct	#FF002C	36.05354	-118.768616
Tulishi	Kadugli-Krongo			severely endangered	#00FF45	11.4507	29.108
