Language_name	Family_name	subfamily_name	genus_name	status	dot_color	label_color	latitude	longitude
Ancient Hebrew	Afro-Asiatic			extinct	#FF0000	#FF0000	31.7761	35.1725
Andaman Creole Hindi	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	11.676	92.738
Andai	Arafundi			unknown/safe	#A9A9A9	#A9A9A9	-4.96449	143.637
Andarum	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.48734	144.767
Andaqui				extinct	#FF0000	#FF0000	2.74999	-76
Andegerebinha	Pama-Nyungan			unknown/safe	#A9A9A9	#A9A9A9	-22.51278	137.3515
Andh	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	19.4734	77.7156
Andi	Nakh-Daghestanian	Daghestanian	Avar-Andic-Tsezic	definitely endangered	#EDED21	#EDED21	42.8078	46.2919
Andio	Austronesian			vulnerable	#CBCB65	#CBCB65	-0.88368	123.174
Andoquero	Huitotoan			extinct	#FF0000	#FF0000	-0.666992	-72.310867
Andoa	Zaparoan			extinct	#FF0000	#FF0000	-3.29664	-76.6056
Andoque				severely endangered	#FFCB00	#FFCB00	-0.53751	-72.0869
Andro	Sino-Tibetan			extinct	#FF0000	#FF0000	24.754303	94.033796
Andra-Hus	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-2.05894	147.085
Aneityum	Austronesian	Eastern Malayo-Polynesian	Oceanic	unknown/safe	#A9A9A9	#A9A9A9	-20.1864	169.825
Aneme Wake	Yareban			unknown/safe	#A9A9A9	#A9A9A9	-9.75911	148.479
Anem			An̻m	unknown/safe	#A9A9A9	#A9A9A9	-5.54836	148.993
Anfillo	Ta-Ne-Omotic			critically endangered	#FF6500	#FF6500	8.568	34.647
Angami Naga	Sino-Tibetan			vulnerable	#CBCB65	#CBCB65	25.6841	93.8668
Angaataha	Angan		Angan	unknown/safe	#A9A9A9	#A9A9A9	-7.15012	146.352
Angal Heneng	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-6.13347	143.478
Angal	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-6.0127	143.592
Angal Enen	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-6.23296	143.583
Angguruk Yali	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-4.0836	139.457
Angika	Indo-European			vulnerable	#CBCB65	#CBCB65	26.0047	85.534
Angloromani	Mixed Language			unknown/safe	#A9A9A9	#A9A9A9	39	-78
Angor	Senagi			unknown/safe	#A9A9A9	#A9A9A9	-3.7167	141.199
Angoram	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.07758	144.028
Angosturas Tunebo	Chibchan			definitely endangered	#EDED21	#EDED21	6.54198	-71.9212
Angolar	Indo-European		Creoles and Pidgins	unknown/safe	#A9A9A9	#A9A9A9	0.11438	6.59486
Anii	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	9.11127	1.60169
//Ani	Khoe-Kwadi		Khoe-Kwadi	definitely endangered	#EDED21	#EDED21	-19.0966	22.9088
Animere	Atlantic-Congo			critically endangered	#FF6500	#FF6500	7.60385	0.41962
Anindilyakwa	Gunwinyguan	Gunwinyguan	Anindilyakwa	vulnerable	#CBCB65	#CBCB65	-13.99904	136.6415
Anjam	Nuclear Trans New Guinea			unknown/safe	#A9A9A9	#A9A9A9	-5.45899	145.717
Ankave	Angan			unknown/safe	#A9A9A9	#A9A9A9	-7.19444	145.754
Anmatyerre	Pama-Nyungan			unknown/safe	#A9A9A9	#A9A9A9	-22.2853	133.286
Anor	Lower Sepik-Ramu			unknown/safe	#A9A9A9	#A9A9A9	-4.98449	144.801
Anserma	Chocoan			extinct	#FF0000	#FF0000	6.24999	-76.05
Ansus	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-1.7543	135.866
Antakarinya	Pama-Nyungan			definitely endangered	#EDED21	#EDED21	-27.1152	134.838
Antankarana Malagasy	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-13.2164	49.2402
Antioquian	Chibchan			extinct	#FF0000	#FF0000	7.199341	-75.342236
Antigua and Barbuda Creole English	Indo-European			unknown/safe	#A9A9A9	#A9A9A9	15.5531	-61.3156
Anuak	Nilotic		Nilotic	unknown/safe	#A9A9A9	#A9A9A9	7.57714	34.0267
Anufo	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	10.2839	0.56021
Anuki	Austronesian			definitely endangered	#EDED21	#EDED21	-9.6692	149.822
Anus	Austronesian			severely endangered	#FFCB00	#FFCB00	-2.26271	139.502
Anuta	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	-11.61	169.85
Anu	Sino-Tibetan			unknown/safe	#A9A9A9	#A9A9A9	23.3394	98.5945
Anyin Morofo	Atlantic-Congo			unknown/safe	#A9A9A9	#A9A9A9	6.1627	-4.64232
Anyin	Atlantic-Congo		Kwa	unknown/safe	#A9A9A9	#A9A9A9	6.31781	-3.30532
Aoheng-Seputan	Austronesian			unknown/safe	#A9A9A9	#A9A9A9	0.87404	114.127
