glottocode,name,isocodes,level,macroarea,latitude,longitude
naka1263,Naka'ela,nae,language,Papunesia,-2.85543,128.516
naka1265,Nakai,nkj,language,Papunesia,-5.19377,140.512
naka1264,Nakama,nib,language,Papunesia,-6.41424,146.782
naka1262,Nakanai,nak,language,Papunesia,-5.59931,150.888
naka1260,Nakara,nck,language,Australia,-12.07653,134.32729
nake1240,Nake,nbk,language,Papunesia,-5.09087,145.655
naki1238,Naki,mff,language,Africa,6.62784,10.2378
nakw1240,Nakwi,nax,language,Papunesia,-4.27412,141.601
nalc1240,Nalca,nlc,language,Papunesia,-4.26068,139.883
nali1245,Nali,nss,language,Papunesia,-2.14273,147.202
nali1244,Nalik,nal,language,Papunesia,-2.94411,151.332
nalo1235,Nalögo,nlz,language,Papunesia,-10.8,165.8
nalu1240,Nalu,naj,language,Africa,11.0397,-14.8188
nalu1239,Naluo Yi,ylo,language,Eurasia,25.97,102.598
nama1268,Namakura,nmk,language,Papunesia,-16.8979,168.569
litz1237,Naman,lzl,language,Papunesia,-16.1331,167.415
nama1264,Nama (Namibia),naq,language,Africa,-25.0747,17.9767
nama1266,Nama (Papua New Guinea),nmx,language,Papunesia,-8.66403,141.706
nama1267,Namat,nkm,language,Papunesia,-8.827,141.641
namb1293,Nambo,ncm,language,Papunesia,-8.74501,141.931
namb1291,Nambya,nmq,language,Africa,-19.0899,26.0394
name1237,Ná-Meo,neo,language,Eurasia,22.4189,106.435
nami1256,Namia,nnm,language,Papunesia,-3.85538,141.788
nami1258,Namiae,nvm,language,Papunesia,-9.18089,148.166
nami1249,Namibian Sign Language,nbs,language,Africa,-22.6,17.048
naml1240,Namla,naa,language,Papunesia,-3.58,140.66
namo1246,Namo,mxw,language,Papunesia,-9.12416,141.824
namo1247,Namonuito,nmt,language,Papunesia,8.584627,149.685202
namo1248,Namosi-Naitasiri-Serua,bwb,language,Papunesia,-18.5308,177.637
namu1246,Namuyi,nmy,language,Eurasia,28.5909,101.898
nana1257,Nanai,gld,language,Eurasia,48.4343,134.797
nanc1253,Nancere,nnc,language,Africa,9.31975,16.1282
nanc1254,Nanchang,,dialect,,28.706609,115.857468
nand1264,Nande,nnb,language,Africa,-0.24904,29.0243
nand1266,Nandi,niq,language,Africa,0.793737,35.408478
nane1238,Nanerigé Sénoufo,sen,language,Africa,11.7548,-4.92148
nang1261,Nanga,nzz,language,Africa,14.49,-3.02
nang1262,Nanggu,ngr,language,Papunesia,-10.7441,165.887
nang1259,Nangikurrunggurr,nam,language,Australia,-14.268,131.237
bedj1245,Nangnda,bjv,language,Africa,8.60006,17.2691
nanj1234,Nanjing Mandarin,,dialect,,32.0989607,118.4575646
nank1250,Nankina,nnk,language,Papunesia,-5.80804,146.464
nann1239,Nanning Pinghua,,dialect,,22.848716,108.366165
nant1250,Nanti,cox,language,South America,-12.1018,-72.3507
nant1249,Nanticoke,nnt,language,North America,39.67781,-74.98648
nanu1240,Nanubae,afk,language,Papunesia,-4.71731,143.937
nape1237,Napeca,,language,South America,-15.3,-63.1
napo1242,Napo Lowland Quechua,qvo,language,South America,-0.072525,-76.3889
napu1241,Napu,npy,language,Papunesia,-1.43707,120.338
nara1262,Nara,nrb,language,Africa,15.3251,37.499
nara1264,Narak,nac,language,Papunesia,-5.5591,144.754
nara1263,Narango,nrg,language,Papunesia,-15.5259,167.047
nara1265,Narau,nxu,language,Papunesia,-3.43594,139.876
nari1240,Narim,loh,language,Africa,4.80331,33.3312
naro1249,Naro,nhr,language,Africa,-22.0939,20.7458
naro1251,Narom,nrm,language,Papunesia,4.42115,114.011
narp1239,Nar Phu,npa,language,Eurasia,28.76714,84.22852
narr1259,Narrinyeri,nay,language,Australia,-36.2301,140.158
naru1238,Narungga,nnr,language,Australia,-34.69,137.535
nasa1240,Nasarian,nvh,language,Papunesia,-16.3497,167.414
nask1242,Naskapi,nsk,language,North America,55.9316,-61.1318
nasv1234,Nasvang,,language,Papunesia,-16.458173,167.639563
nata1238,Natagaimas,nts,language,South America,4.16665,-75.0333
nata1252,Natanzi,ntz,language,Eurasia,33.4593,51.9538
nata1254,Nataoran Amis,ais,language,Papunesia,23.9386,121.59
natc1249,Natchez,ncz,language,North America,31.75,-91.33
nate1242,Nateni,ntm,language,Africa,10.5191,1.21879
nath1238,Nathembo,nte,language,Africa,-16.0973,39.9062
nati1244,Nati,,language,Papunesia,-16.468709,167.496054
nati1243,Natioro,nti,language,Africa,10.7176,-5.19517
natu1246,Natügu,ntu,language,Papunesia,-10.6771,165.835
natu1249,Natügu (Retired),stc,language,Papunesia,-10.6771,165.835
naue1237,Nauete,nxa,language,Papunesia,-8.70733,126.741
nauk1242,Naukan Yupik,ynk,language,Eurasia,65.5184,-171.755
naun1237,Nauna,ncn,language,Papunesia,-2.21213,148.201
nauo1235,Nauo,nwo,language,Australia,-33.79661078,135.828014
naur1243,Nauru,nau,language,Papunesia,-0.52957,166.922
nava1243,Navajo,nav,language,North America,36.2106,-110.082
navu1237,Navut,nsw,language,Papunesia,-15.3169,166.798
navw1234,Navwien,,language,Papunesia,-16.502947,167.554419
nawa1239,Nawa,,language,South America,-7.68,-72
nawa1258,Nawaru,nwr,language,Papunesia,-9.37935,148.237
nawa1259,Nawathinehena,nwa,language,North America,41.316,-104.45
nawd1238,Nawdm,nmz,language,Africa,7.17037,0.58553
nawu1242,Nawuri,naw,language,Africa,8.45116,0.04947
naxi1245,Naxi,nxq,language,Eurasia,27.4599,100.182
naxi1246,Naxi (Retired),nbf,language,Eurasia,27.45988,100.18172
nayi1243,Nayi,noz,language,Africa,6.88202,36.3813
nayi1242,Nayini,nyq,language,Eurasia,34.2212,53.521
ncan1245,Ncane,ncr,language,Africa,6.50696,10.5312
nchu1238,Nchumbulu,nlu,language,Africa,7.6302,-1.30881
ndai1238,Ndai,gke,language,Africa,8.09039,14.2888
ndak1241,Ndaka,ndk,language,Africa,1.53341,27.9693
ndak1242,Ndaktup,ncp,language,Africa,6.7,11.03
ndal1241,Ndali,ndh,language,Africa,-9.88948,33.6118
ndam1251,Ndam,ndm,language,Africa,9.79369,17.326
ndam1239,Ndamba,ndj,language,Africa,-8.40485,36.0271
ndam1254,Ndambomo,nxo,language,Africa,-0.82,12.77
